,y
2020-08-25,85.36
2020-08-26,85.44
2020-08-27,85.34
2020-08-28,87.25
2020-08-31,86.12
2020-09-01,87.05
2020-09-02,90.0
2020-09-03,86.76
2020-09-04,86.21
2020-09-08,84.66
2020-09-09,85.65
2020-09-10,84.09
2020-09-11,84.55
2020-09-14,85.89
2020-09-15,86.01
2020-09-16,84.97
2020-09-17,83.29
2020-09-18,88.95
2020-09-21,84.56
2020-09-22,84.51
2020-09-23,83.95
2020-09-24,84.33
2020-09-25,86.4
2020-09-28,90.03
2020-09-29,91.92
2020-09-30,91.68
2020-10-01,93.96
2020-10-02,93.56
2020-10-05,97.2
2020-10-06,94.48
2020-10-07,99.19
2020-10-08,97.97
2020-10-09,98.06
2020-10-12,98.26
2020-10-13,96.07
2020-10-14,95.74
2020-10-15,97.68
2020-10-16,98.2
2020-10-19,99.4
2020-10-20,100.19
2020-10-21,99.41
2020-10-22,100.15
2020-10-23,100.29
2020-10-26,98.19
2020-10-27,96.29
2020-10-28,93.57
2020-10-29,98.32
2020-10-30,96.49
2020-11-02,97.88
2020-11-03,101.79
2020-11-04,99.25
2020-11-05,104.78
2020-11-06,104.48
2020-11-09,106.69
2020-11-10,108.84
2020-11-11,111.03
2020-11-12,108.82
2020-11-13,109.91
2020-11-16,114.47
2020-11-17,114.44
2020-11-18,115.05
2020-11-19,115.36
2020-11-20,114.32
2020-11-23,116.6
2020-11-24,121.66
2020-11-25,118.47
2020-11-27,121.86
2020-11-30,118.7
2020-12-01,122.21
2020-12-02,121.0
2020-12-03,121.16
2020-12-04,123.35
2020-12-07,123.46
2020-12-08,123.07
2020-12-09,123.73
2020-12-10,124.15
2020-12-11,122.24
2020-12-14,121.65
2020-12-15,122.61
2020-12-16,122.84
2020-12-17,124.89
2020-12-18,124.3
2020-12-21,123.32
2020-12-22,125.04
2020-12-23,128.35
2020-12-24,128.42
2020-12-28,128.14
2020-12-29,128.07
2020-12-30,130.79
2020-12-31,130.29
2021-01-04,129.51
2021-01-05,133.39
2021-01-06,138.11
2021-01-07,144.8
2021-01-08,145.56
2021-01-11,145.08
2021-01-12,151.09
2021-01-13,146.06
2021-01-14,144.22
2021-01-15,142.75
2021-01-19,142.57
2021-01-20,145.12
2021-01-21,143.85
2021-01-22,139.49
2021-01-25,139.01
2021-01-26,135.7
2021-01-27,127.96
2021-01-28,133.42
2021-01-29,133.6
2021-02-01,138.77
2021-02-02,141.26
2021-02-03,143.15
2021-02-04,142.15
2021-02-05,147.13
2021-02-08,148.77
2021-02-09,148.28
2021-02-10,149.89
2021-02-11,153.95
2021-02-12,156.29
2021-02-16,155.09
2021-02-17,156.57
2021-02-18,149.35
2021-02-19,153.8
2021-02-22,156.99
2021-02-23,151.66
2021-02-24,155.22
2021-02-25,147.44
2021-02-26,149.84
2021-03-01,154.76
2021-03-02,154.21
2021-03-03,155.55
2021-03-04,146.4
2021-03-05,146.17
2021-03-08,144.6
2021-03-09,143.5
2021-03-10,148.69
2021-03-11,152.51
2021-03-12,150.9
2021-03-15,152.83
2021-03-16,147.35
2021-03-17,153.23
2021-03-18,148.9
2021-03-19,145.94
2021-03-22,145.04
2021-03-23,139.48
2021-03-24,139.85
2021-03-25,142.68
2021-03-26,140.64
2021-03-29,135.08
2021-03-30,137.29
2021-03-31,137.9
2021-04-01,140.74
2021-04-05,142.01
2021-04-06,144.28
2021-04-07,140.71
2021-04-08,140.15
2021-04-09,142.43
2021-04-12,143.15
2021-04-13,141.2
2021-04-14,142.25
2021-04-15,141.84
2021-04-16,141.05
2021-04-19,140.32
2021-04-20,135.04
2021-04-21,139.18
2021-04-22,138.93
2021-04-23,144.89
2021-04-26,145.2
2021-04-27,146.71
2021-04-28,146.92
2021-04-29,144.54
2021-04-30,143.89
2021-05-03,143.44
2021-05-04,139.74
2021-05-05,142.92
2021-05-06,141.46
2021-05-07,148.77
2021-05-10,143.78
2021-05-11,140.63
2021-05-12,134.37
2021-05-13,136.93
2021-05-14,139.18
2021-05-17,139.04
2021-05-18,137.33
2021-05-19,136.92
2021-05-20,137.31
2021-05-21,140.46
2021-05-24,141.46
2021-05-25,141.86
2021-05-26,143.38
2021-05-27,150.89
2021-05-28,150.42
2021-06-01,154.91
2021-06-02,155.0
2021-06-03,155.99
2021-06-04,159.75
2021-06-07,157.25
2021-06-08,159.27
2021-06-09,158.33
2021-06-10,155.54
2021-06-11,156.76
2021-06-14,157.47
2021-06-15,157.0
2021-06-16,154.37
2021-06-17,151.36
2021-06-18,147.27
2021-06-21,150.44
2021-06-22,151.64
2021-06-23,152.75
2021-06-24,155.13
2021-06-25,155.77
2021-06-28,154.7
2021-06-29,158.3
2021-06-30,157.33
2021-07-01,158.73
2021-07-02,159.87
2021-07-06,157.6
2021-07-07,154.0
2021-07-08,151.28
2021-07-09,155.61
2021-07-12,158.52
2021-07-13,157.53
2021-07-14,155.81
2021-07-15,153.59
2021-07-16,149.75
2021-07-19,147.17
2021-07-20,153.15
2021-07-21,156.05
2021-07-22,154.49
2021-07-23,157.39
2021-07-26,159.75
2021-07-27,158.9
2021-07-28,162.32
2021-07-29,167.65
2021-07-30,166.85
2021-08-02,167.66
2021-08-03,169.14
2021-08-04,165.72
2021-08-05,159.65
2021-08-06,163.15
2021-08-09,165.31
2021-08-10,169.76
2021-08-11,168.14
2021-08-12,166.52
2021-08-13,164.93
2021-08-16,164.24
2021-08-17,158.25
2021-08-18,156.58
2021-08-19,152.92
2021-08-20,154.65
2021-08-23,155.2
2021-08-24,157.64
2021-08-25,157.42
2021-08-26,154.21
2021-08-27,156.41
2021-08-30,153.11
2021-08-31,152.19
2021-09-01,151.4
2021-09-02,151.07
2021-09-03,149.93
2021-09-07,150.61
2021-09-08,148.04
2021-09-09,148.93
2021-09-10,146.44
2021-09-13,148.25
2021-09-14,149.83
2021-09-15,154.27
2021-09-16,149.18
2021-09-17,146.43
2021-09-20,143.48
2021-09-21,142.3
2021-09-22,145.17
2021-09-23,152.76
2021-09-24,151.03
2021-09-27,154.2
2021-09-28,154.21
2021-09-29,150.64
2021-09-30,148.97
2021-10-01,152.7
2021-10-04,157.66
2021-10-05,158.1
2021-10-06,157.7
2021-10-07,164.8
2021-10-08,165.12
2021-10-11,160.15
2021-10-12,163.02
2021-10-13,164.88
2021-10-14,167.32
2021-10-15,168.74
2021-10-18,167.8
2021-10-19,166.58
2021-10-20,168.98
2021-10-21,169.51
2021-10-22,168.38
2021-10-25,170.29
2021-10-26,169.18
2021-10-27,169.22
2021-10-28,172.07
2021-10-29,172.89
2021-11-01,175.73
2021-11-02,174.61
2021-11-03,178.12
2021-11-04,177.46
2021-11-05,175.03
2021-11-08,173.23
2021-11-09,172.47
2021-11-10,171.42
2021-11-11,169.01
2021-11-12,170.5
2021-11-15,172.13
2021-11-16,174.63
2021-11-17,176.51
2021-11-18,176.26
2021-11-19,176.06
2021-11-22,175.5
2021-11-23,170.3
2021-11-24,169.56
2021-11-26,163.41
2021-11-29,165.49
2021-11-30,160.35
2021-12-01,160.0
2021-12-02,165.77
2021-12-03,162.35
2021-12-06,164.41
2021-12-07,167.62
2021-12-08,170.38
2021-12-09,166.8
2021-12-10,168.97
2021-12-13,162.96
2021-12-14,160.82
2021-12-15,164.44
