Date,AAPL,ADBE,APTV,EPAM,FRT,MELI,MO,NEM,SWK,TTD
2018-12-14,41.36999893,230,65.94999695,119.25,130.9100037,326.519989,52.72999954,33.31000137,118.3600006,13.65299988
2018-12-17,40.98500061,221.3800049,64.44000244,114.25,126.4899979,310.4899902,52.34999847,33.61000061,119.9800034,12.44799995
2018-12-18,41.51750183,226.1799927,63.38999939,117.4400024,125.3700027,310.8299866,50.88999939,34.15999985,120.3099976,12.38199997
2018-12-19,40.22249985,224.6499939,62,114.8600006,122.9499969,312.3900146,51.40000153,32.09000015,117.4400024,12.15499973
2018-12-20,39.20750046,218.6499939,62.36000061,109.3399963,121.4499969,306.3999939,50.43999863,34.09000015,115.5999985,11.70899963
2018-12-21,37.68249893,208.8000031,61.43999863,107.4899979,119.7099991,286.5599976,49.09000015,33.52999878,113.6900024,10.65499973
2018-12-24,36.70750046,205.1600037,60.08000183,106.2799988,115.3300018,257.519989,47.56000137,34.58000183,111.25,10.43900013
2018-12-26,39.29249954,222.9499969,61.74000168,112.7200012,119.8399963,281.8099976,48.43000031,34.52999878,116.9800034,11.08100033
2018-12-27,39.03749847,225.1399994,61.95999908,115.0400009,120.2300034,289.1000061,48.70000076,34.99000168,120.1600037,11.39599991
2018-12-28,39.05749893,223.1300049,61.38000107,114.0400009,120.3300018,292.0899963,48.88999939,34.47000122,118.8300018,11.44499969
2018-12-31,39.43500137,226.2400055,61.56999969,116.0100021,118.0400009,292.8500061,49.38999939,34.65000153,119.7399979,11.60599995
2019-01-02,39.47999954,224.5700073,61.15000153,114.3199997,115.8099976,298.0100098,49.31000137,34.47999954,120.7300034,11.61600018
2019-01-03,35.54750061,215.6999969,60.41999817,112.2900009,116.5899963,296.5899963,49.04000092,34.38000107,117.2099991,10.95600033
2019-01-04,37.06499863,226.1900024,62.61999893,117.3399963,117.9000015,315.3299866,50.29999924,34.38000107,123.1500015,11.79199982
2019-01-07,36.98249817,229.2599945,63.56999969,123.3399963,119.4199982,328.9400024,48.77999878,33.97000122,125.75,12.45699978
2019-01-08,37.6875,232.6799927,67.01000214,125.3700027,121.9700012,328.4899902,49.06000137,34.06999969,128.0700073,12.80500031
2019-01-09,38.32749939,235.4299927,69.54000092,128.5099945,121.9599991,339.9599915,49.65999985,34.36999893,131.0500031,12.88000011
2019-01-10,38.45000076,237.7700043,70.23000336,129.5299988,123.6999969,339.5899963,48.86000061,34.81999969,132.0299988,12.96700001
2019-01-11,38.07249832,237.5500031,69.43000031,130.4799957,123.4100037,344.9500122,48.90000153,34.88000107,132.7100067,12.72999954
2019-01-14,37.5,234.5599976,70.37000275,129.8699951,123,339.769989,48.25999832,31.78000069,130.8899994,12.84899998
2019-01-15,38.26750183,242.3600006,69.81999969,133.25,124.3000031,350.1000061,47.90999985,31.02000046,128.9900055,13.04100037
