,y
2020-11-12,332.73
2020-11-13,333.38
2020-11-16,322.82
2020-11-17,331.62
2020-11-18,327.93
2020-11-19,334.58
2020-11-20,341.01
2020-11-23,335.69
2020-11-24,315.46
2020-11-25,318.65
2020-11-27,325.95
2020-11-30,322.33
2020-12-01,328.82
2020-12-02,323.59
2020-12-03,319.69
2020-12-04,324.93
2020-12-07,323.08
2020-12-08,329.46
2020-12-09,320.58
2020-12-10,322.76
2020-12-11,321.2
2020-12-14,325.22
2020-12-15,325.93
2020-12-16,334.04
2020-12-17,344.2
2020-12-18,346.53
2020-12-21,340.63
2020-12-22,355.46
2020-12-23,352.86
2020-12-24,356.34
2020-12-28,353.63
2020-12-29,351.75
2020-12-30,358.48
2020-12-31,358.35
2021-01-04,348.06
2021-01-05,345.7
2021-01-06,329.66
2021-01-07,338.48
2021-01-08,342.37
2021-01-11,342.84
2021-01-12,331.73
2021-01-13,333.54
2021-01-14,340.65
2021-01-15,348.01
2021-01-19,351.41
2021-01-20,363.9
2021-01-21,363.26
2021-01-22,359.69
2021-01-25,354.15
2021-01-26,350.75
2021-01-27,339.62
2021-01-28,348.97
2021-01-29,344.43
2021-02-01,356.7
2021-02-02,370.93
2021-02-03,372.78
2021-02-04,373.09
2021-02-05,377.43
2021-02-08,390.33
2021-02-09,394.46
2021-02-10,387.33
2021-02-11,392.89
2021-02-12,400.27
2021-02-16,394.48
2021-02-17,391.7
2021-02-18,378.46
2021-02-19,376.0
2021-02-22,364.89
2021-02-23,371.63
2021-02-24,369.26
2021-02-25,364.18
2021-02-26,373.61
2021-03-01,384.65
2021-03-02,387.29
2021-03-03,378.79
2021-03-04,359.5
2021-03-05,358.55
2021-03-08,339.12
2021-03-09,351.45
2021-03-10,353.24
2021-03-11,366.02
2021-03-12,364.15
2021-03-15,372.57
2021-03-16,371.68
2021-03-17,373.88
2021-03-18,368.91
2021-03-19,379.6
2021-03-22,380.45
2021-03-23,373.83
2021-03-24,368.51
2021-03-25,368.01
2021-03-26,387.74
2021-03-29,378.08
2021-03-30,383.51
2021-03-31,396.69
2021-04-01,399.99
2021-04-05,409.31
2021-04-06,411.01
2021-04-07,410.36
2021-04-08,420.55
2021-04-09,423.06
2021-04-12,424.67
2021-04-13,432.48
2021-04-14,430.4
2021-04-15,448.67
2021-04-16,446.04
2021-04-19,446.94
2021-04-20,446.92
2021-04-21,448.83
