Date,TTD
4/7/21,67.79
4/8/21,69.04
4/9/21,69.26
4/12/21,70.59
4/13/21,72.30
4/14/21,71.61
4/15/21,73.50
4/16/21,71.89
4/19/21,69.55
4/20/21,68.61
4/21/21,70.73
4/22/21,70.02
4/23/21,72.65
4/26/21,74.76
4/27/21,74.86
4/28/21,74.64
4/29/21,74.90
4/30/21,72.93
5/3/21,70.16
5/4/21,66.65
5/5/21,63.91
5/6/21,61.23
5/7/21,66.14
5/10/21,48.96
5/11/21,51.44
5/12/21,50.48
5/13/21,49.35
5/14/21,51.75
5/17/21,50.76
5/18/21,50.85
5/19/21,50.91
5/20/21,54.33
5/21/21,53.97
5/24/21,55.56
5/25/21,56.13
5/26/21,58.15
5/27/21,58.46
5/28/21,58.81
6/1/21,58.31
6/2/21,58.19
6/3/21,56.80
6/4/21,57.47
6/7/21,59.99
6/8/21,60.49
6/9/21,58.53
6/10/21,59.03
6/11/21,59.98
6/14/21,60.16
6/15/21,58.58
6/16/21,59.02
6/17/21,62.14
6/18/21,60.88
6/21/21,61.26
6/22/21,64.50
6/23/21,65.39
6/24/21,75.88
6/25/21,76.02
6/28/21,79.89
6/29/21,79.97
6/30/21,77.36
7/1/21,76.68
7/2/21,76.62
7/6/21,76.56
7/7/21,77.64
7/8/21,76.11
7/9/21,77.95
7/12/21,77.85
7/13/21,76.50
7/14/21,73.63
7/15/21,71.99
7/16/21,70.62
7/19/21,70.94
7/20/21,73.00
7/21/21,74.15
7/22/21,74.11
7/23/21,81.15
7/26/21,81.45
7/27/21,82.68
7/28/21,85.56
7/29/21,84.10
7/30/21,81.91
8/2/21,83.19
8/3/21,83.16
8/4/21,86.44
8/5/21,83.38
8/6/21,84.04
8/9/21,81.32
8/10/21,87.53
8/11/21,82.40
8/12/21,85.61
8/13/21,80.91
8/16/21,78.96
8/17/21,79.26
8/18/21,76.90
8/19/21,75.79
8/20/21,77.18
8/23/21,79.39
8/24/21,80.62
8/25/21,80.06
8/26/21,78.42
8/27/21,80.58
8/30/21,80.71
8/31/21,80.05
9/1/21,79.51
9/2/21,78.02
9/3/21,78.20
9/7/21,75.28
9/8/21,72.30
9/9/21,72.82
9/10/21,72.78
9/13/21,71.20
9/14/21,70.83
9/15/21,70.82
9/16/21,73.20
9/17/21,72.58
9/20/21,69.71
9/21/21,72.14
9/22/21,75.58
9/23/21,76.40
9/24/21,76.46
9/27/21,75.79
9/28/21,69.27
9/29/21,67.81
9/30/21,70.30
10/1/21,70.42
10/4/21,66.03
10/5/21,67.60
10/6/21,68.29
10/7/21,70.42
10/8/21,71.00
10/11/21,70.72
10/12/21,72.75
10/13/21,75.72
10/14/21,77.09
10/15/21,78.46
10/18/21,80.82
10/19/21,81.41
10/20/21,79.56
10/21/21,81.06
10/22/21,73.96
10/25/21,76.11
10/26/21,76.78
10/27/21,73.05
10/28/21,75.43
10/29/21,74.91
11/1/21,76.49
11/2/21,75.04
11/3/21,76.71
11/4/21,72.43
11/5/21,68.55
11/8/21,88.75
11/9/21,97.09
11/10/21,88.66
11/11/21,91.55
11/12/21,100.33
11/15/21,105.45
11/16/21,111.64
11/17/21,107.50
11/18/21,105.47
11/19/21,107.79
11/22/21,103.27
11/23/21,102.74
11/24/21,106.21
11/26/21,103.98
11/29/21,107.06
11/30/21,103.42
12/1/21,95.22
