,Date,AAPL
545,2019-05-06,52.12
546,2019-05-07,50.72
547,2019-05-08,50.72
548,2019-05-09,50.18
549,2019-05-10,49.29
550,2019-05-13,46.43
551,2019-05-14,47.17
552,2019-05-15,47.73
553,2019-05-16,47.52
554,2019-05-17,47.25
555,2019-05-20,45.77
556,2019-05-21,46.65
557,2019-05-22,45.69
558,2019-05-23,44.92
559,2019-05-24,44.74
560,2019-05-28,44.56
561,2019-05-29,44.35
562,2019-05-30,44.58
563,2019-05-31,43.77
564,2019-06-03,43.33
565,2019-06-04,44.91
566,2019-06-05,45.63
567,2019-06-06,46.31
568,2019-06-07,47.54
569,2019-06-10,48.15
570,2019-06-11,48.7
571,2019-06-12,48.55
572,2019-06-13,48.54
573,2019-06-14,48.19
574,2019-06-17,48.47
575,2019-06-18,49.61
576,2019-06-19,49.47
577,2019-06-20,49.87
578,2019-06-21,49.69
579,2019-06-24,49.65
580,2019-06-25,48.89
581,2019-06-26,49.95
582,2019-06-27,49.94
583,2019-06-28,49.48
584,2019-07-01,50.39
585,2019-07-02,50.68
586,2019-07-03,51.1
587,2019-07-05,51.06
588,2019-07-08,50.01
589,2019-07-09,50.31
590,2019-07-10,50.81
591,2019-07-11,50.44
592,2019-07-12,50.83
593,2019-07-15,51.3
594,2019-07-16,51.12
595,2019-07-17,50.84
596,2019-07-18,51.42
597,2019-07-19,50.65
598,2019-07-22,51.81
599,2019-07-23,52.21
600,2019-07-24,52.17
601,2019-07-25,51.76
602,2019-07-26,51.94
603,2019-07-29,52.42
604,2019-07-30,52.19
605,2019-07-31,53.26
606,2019-08-01,52.11
607,2019-08-02,51.01
608,2019-08-05,48.33
609,2019-08-06,49.25
610,2019-08-07,49.76
611,2019-08-08,50.86
612,2019-08-09,50.25
613,2019-08-12,50.12
614,2019-08-13,52.24
615,2019-08-14,50.69
616,2019-08-15,50.44
617,2019-08-16,51.62
618,2019-08-19,52.59
619,2019-08-20,52.59
620,2019-08-21,53.16
621,2019-08-22,53.12
622,2019-08-23,50.66
623,2019-08-26,51.62
624,2019-08-27,51.04
625,2019-08-28,51.38
626,2019-08-29,52.25
627,2019-08-30,52.19
628,2019-09-03,51.42
629,2019-09-04,52.3
630,2019-09-05,53.32
631,2019-09-06,53.31
632,2019-09-09,53.54
633,2019-09-10,54.17
634,2019-09-11,55.9
635,2019-09-12,55.77
636,2019-09-13,54.69
637,2019-09-16,54.97
638,2019-09-17,55.17
639,2019-09-18,55.69
640,2019-09-19,55.24
641,2019-09-20,54.43
642,2019-09-23,54.68
643,2019-09-24,54.42
644,2019-09-25,55.26
645,2019-09-26,54.97
646,2019-09-27,54.71
647,2019-09-30,55.99
648,2019-10-01,56.15
649,2019-10-02,54.74
650,2019-10-03,55.21
651,2019-10-04,56.75
652,2019-10-07,56.76
653,2019-10-08,56.1
654,2019-10-09,56.76
655,2019-10-10,57.52
656,2019-10-11,59.05
657,2019-10-14,58.97
658,2019-10-15,58.83
659,2019-10-16,58.59
660,2019-10-17,58.82
661,2019-10-18,59.1
662,2019-10-21,60.13
663,2019-10-22,59.99
664,2019-10-23,60.79
665,2019-10-24,60.9
666,2019-10-25,61.65
667,2019-10-28,62.26
668,2019-10-29,60.82
669,2019-10-30,60.81
670,2019-10-31,62.19
671,2019-11-01,63.96
672,2019-11-04,64.38
673,2019-11-05,64.28
674,2019-11-06,64.31
675,2019-11-07,64.86
676,2019-11-08,65.04
677,2019-11-11,65.55
678,2019-11-12,65.49
679,2019-11-13,66.12
680,2019-11-14,65.66
681,2019-11-15,66.44
682,2019-11-18,66.78
683,2019-11-19,66.57
684,2019-11-20,65.8
685,2019-11-21,65.5
686,2019-11-22,65.44
687,2019-11-25,66.59
688,2019-11-26,66.07
689,2019-11-27,66.96
690,2019-11-29,66.81
691,2019-12-02,66.04
692,2019-12-03,64.86
693,2019-12-04,65.43
694,2019-12-05,66.39
695,2019-12-06,67.68
696,2019-12-09,66.73
697,2019-12-10,67.12
698,2019-12-11,67.69
699,2019-12-12,67.86
700,2019-12-13,68.79
701,2019-12-16,69.96
702,2019-12-17,70.1
703,2019-12-18,69.93
704,2019-12-19,70.0
705,2019-12-20,69.86
706,2019-12-23,71.0
707,2019-12-24,71.07
708,2019-12-26,72.48
709,2019-12-27,72.45
710,2019-12-30,72.88
711,2019-12-31,73.41
712,2020-01-02,75.09
713,2020-01-03,74.36
714,2020-01-06,74.95
715,2020-01-07,74.6
716,2020-01-08,75.8
717,2020-01-09,77.41
718,2020-01-10,77.58
719,2020-01-13,79.24
720,2020-01-14,78.17
721,2020-01-15,77.83
722,2020-01-16,78.81
723,2020-01-17,79.68
724,2020-01-21,79.14
725,2020-01-22,79.43
726,2020-01-23,79.81
727,2020-01-24,79.58
728,2020-01-27,77.24
729,2020-01-28,79.42
730,2020-01-29,81.08
731,2020-01-30,80.97
732,2020-01-31,77.38
733,2020-02-03,77.17
734,2020-02-04,79.71
735,2020-02-05,80.36
736,2020-02-06,81.3
737,2020-02-07,80.01
738,2020-02-10,80.39
739,2020-02-11,79.9
740,2020-02-12,81.8
741,2020-02-13,81.22
742,2020-02-14,81.24
743,2020-02-18,79.75
744,2020-02-19,80.9
745,2020-02-20,80.07
746,2020-02-21,78.26
747,2020-02-24,74.54
748,2020-02-25,72.02
749,2020-02-26,73.16
750,2020-02-27,68.38
751,2020-02-28,68.34
752,2020-03-02,74.7
753,2020-03-03,72.33
754,2020-03-04,75.68
755,2020-03-05,73.23
756,2020-03-06,72.26
757,2020-03-09,66.54
758,2020-03-10,71.33
759,2020-03-11,68.86
760,2020-03-12,62.06
761,2020-03-13,69.49
762,2020-03-16,60.55
763,2020-03-17,63.22
764,2020-03-18,61.67
765,2020-03-19,61.19
766,2020-03-20,57.31
767,2020-03-23,56.09
768,2020-03-24,61.72
769,2020-03-25,61.38
770,2020-03-26,64.61
771,2020-03-27,61.94
772,2020-03-30,63.7
773,2020-03-31,63.57
774,2020-04-01,60.23
775,2020-04-02,61.23
776,2020-04-03,60.35
777,2020-04-06,65.62
778,2020-04-07,64.86
779,2020-04-08,66.52
780,2020-04-09,67.0
781,2020-04-13,68.31
782,2020-04-14,71.76
783,2020-04-15,71.11
784,2020-04-16,71.67
785,2020-04-17,70.7
786,2020-04-20,69.23
787,2020-04-21,67.09
788,2020-04-22,69.03
789,2020-04-23,68.76
790,2020-04-24,70.74
791,2020-04-27,70.79
792,2020-04-28,69.64
793,2020-04-29,71.93
794,2020-04-30,73.45
795,2020-05-01,72.27
796,2020-05-04,73.29
797,2020-05-05,74.39
798,2020-05-06,75.16
799,2020-05-07,75.93
800,2020-05-08,77.53
801,2020-05-11,78.75
802,2020-05-12,77.85
803,2020-05-13,76.91
804,2020-05-14,77.39
805,2020-05-15,76.93
806,2020-05-18,78.74
807,2020-05-19,78.29
808,2020-05-20,79.81
809,2020-05-21,79.21
810,2020-05-22,79.72
811,2020-05-26,79.18
812,2020-05-27,79.53
813,2020-05-28,79.56
814,2020-05-29,79.49
815,2020-06-01,80.46
816,2020-06-02,80.83
817,2020-06-03,81.28
818,2020-06-04,80.58
819,2020-06-05,82.88
820,2020-06-08,83.36
821,2020-06-09,86.0
822,2020-06-10,88.21
823,2020-06-11,83.97
824,2020-06-12,84.7
825,2020-06-15,85.75
826,2020-06-16,88.02
827,2020-06-17,87.9
828,2020-06-18,87.93
829,2020-06-19,87.43
830,2020-06-22,89.72
831,2020-06-23,91.63
832,2020-06-24,90.01
833,2020-06-25,91.21
834,2020-06-26,88.41
835,2020-06-29,90.44
836,2020-06-30,91.2
837,2020-07-01,91.03
838,2020-07-02,91.03
839,2020-07-06,93.46
840,2020-07-07,93.17
841,2020-07-08,95.34
842,2020-07-09,95.75
843,2020-07-10,95.92
844,2020-07-13,95.48
845,2020-07-14,97.06
846,2020-07-15,97.72
847,2020-07-16,96.52
848,2020-07-17,96.33
849,2020-07-20,98.36
850,2020-07-21,97.0
851,2020-07-22,97.27
852,2020-07-23,92.85
853,2020-07-24,92.61
854,2020-07-27,94.81
855,2020-07-28,93.25
856,2020-07-29,95.04
857,2020-07-30,96.19
858,2020-07-31,106.26
859,2020-08-03,108.94
860,2020-08-04,109.67
861,2020-08-05,110.06
862,2020-08-06,113.9
863,2020-08-07,111.11
864,2020-08-10,112.73
865,2020-08-11,109.38
866,2020-08-12,113.01
867,2020-08-13,115.01
868,2020-08-14,114.91
869,2020-08-17,114.61
870,2020-08-18,115.56
871,2020-08-19,115.71
872,2020-08-20,118.28
873,2020-08-21,124.37
874,2020-08-24,125.86
875,2020-08-25,124.82
876,2020-08-26,126.52
877,2020-08-27,125.01
878,2020-08-28,124.81
879,2020-08-31,129.04
880,2020-09-01,134.18
881,2020-09-02,131.4
882,2020-09-03,120.88
883,2020-09-04,120.96
884,2020-09-08,112.82
885,2020-09-09,117.32
886,2020-09-10,113.49
887,2020-09-11,112.0
888,2020-09-14,115.36
889,2020-09-15,115.54
890,2020-09-16,112.13
891,2020-09-17,110.34
892,2020-09-18,106.84
893,2020-09-21,110.08
894,2020-09-22,111.81
895,2020-09-23,107.12
896,2020-09-24,108.22
897,2020-09-25,112.28
898,2020-09-28,114.96
899,2020-09-29,114.09
900,2020-09-30,115.81
901,2020-10-01,116.79
902,2020-10-02,113.02
903,2020-10-05,116.5
904,2020-10-06,113.16
905,2020-10-07,115.08
906,2020-10-08,114.97
907,2020-10-09,116.97
908,2020-10-12,124.4
909,2020-10-13,121.1
910,2020-10-14,121.19
911,2020-10-15,120.71
912,2020-10-16,119.02
913,2020-10-19,115.98
914,2020-10-20,117.51
915,2020-10-21,116.87
916,2020-10-22,115.75
917,2020-10-23,115.04
918,2020-10-26,115.05
919,2020-10-27,116.6
920,2020-10-28,111.2
921,2020-10-29,115.32
922,2020-10-30,108.86
923,2020-11-02,108.77
924,2020-11-03,110.44
925,2020-11-04,114.95
926,2020-11-05,119.03
927,2020-11-06,118.69
928,2020-11-09,116.32
929,2020-11-10,115.97
930,2020-11-11,119.49
931,2020-11-12,119.21
932,2020-11-13,119.26
933,2020-11-16,120.3
934,2020-11-17,119.39
935,2020-11-18,118.03
936,2020-11-19,118.64
937,2020-11-20,117.34
938,2020-11-23,113.85
939,2020-11-24,115.17
940,2020-11-25,116.03
941,2020-11-27,116.59
942,2020-11-30,119.05
943,2020-12-01,122.72
944,2020-12-02,123.08
945,2020-12-03,122.94
946,2020-12-04,122.25
947,2020-12-07,123.75
948,2020-12-08,124.38
949,2020-12-09,121.78
950,2020-12-10,123.24
951,2020-12-11,122.41
952,2020-12-14,121.78
953,2020-12-15,127.88
954,2020-12-16,127.81
955,2020-12-17,128.7
956,2020-12-18,126.66
957,2020-12-21,128.23
958,2020-12-22,131.88
959,2020-12-23,130.96
960,2020-12-24,131.97
961,2020-12-28,136.69
962,2020-12-29,134.87
963,2020-12-30,133.72
964,2020-12-31,132.69
965,2021-01-04,129.41
966,2021-01-05,131.01
967,2021-01-06,126.6
968,2021-01-07,130.92
969,2021-01-08,132.05
970,2021-01-11,128.98
971,2021-01-12,128.8
972,2021-01-13,130.89
973,2021-01-14,128.91
974,2021-01-15,127.14
975,2021-01-19,127.83
976,2021-01-20,132.03
977,2021-01-21,136.87
978,2021-01-22,139.07
