Date,APTV
2/25/21,147.44
2/26/21,149.84
3/1/21,154.76
3/2/21,154.21
3/3/21,155.55
3/4/21,146.40
3/5/21,146.17
3/8/21,144.60
3/9/21,143.50
3/10/21,148.69
3/11/21,152.51
3/12/21,150.90
3/15/21,152.83
3/16/21,147.35
3/17/21,153.23
3/18/21,148.90
3/19/21,145.94
3/22/21,145.04
3/23/21,139.48
3/24/21,139.85
3/25/21,142.68
3/26/21,140.64
3/29/21,135.08
3/30/21,137.29
3/31/21,137.90
4/1/21,140.74
4/5/21,142.01
4/6/21,144.28
4/7/21,140.71
4/8/21,140.15
4/9/21,142.43
4/12/21,143.15
4/13/21,141.20
4/14/21,142.25
4/15/21,141.84
4/16/21,141.05
4/19/21,140.32
4/20/21,135.04
4/21/21,139.18
4/22/21,138.93
4/23/21,144.89
4/26/21,145.20
4/27/21,146.71
4/28/21,146.92
4/29/21,144.54
4/30/21,143.89
5/3/21,143.44
5/4/21,139.74
5/5/21,142.92
5/6/21,141.46
5/7/21,148.77
5/10/21,143.78
5/11/21,140.63
5/12/21,134.37
5/13/21,136.93
5/14/21,139.18
5/17/21,139.04
5/18/21,137.33
5/19/21,136.92
5/20/21,137.31
5/21/21,140.46
5/24/21,141.46
5/25/21,141.86
5/26/21,143.38
5/27/21,150.89
5/28/21,150.42
6/1/21,154.91
6/2/21,155.00
6/3/21,155.99
6/4/21,159.75
6/7/21,157.25
6/8/21,159.27
6/9/21,158.33
6/10/21,155.54
6/11/21,156.76
6/14/21,157.47
6/15/21,157.00
6/16/21,154.37
6/17/21,151.36
6/18/21,147.27
6/21/21,150.44
6/22/21,151.64
6/23/21,152.75
6/24/21,155.13
6/25/21,155.77
6/28/21,154.70
6/29/21,158.30
6/30/21,157.33
7/1/21,158.73
7/2/21,159.87
7/6/21,157.60
7/7/21,154.00
7/8/21,151.28
7/9/21,155.61
7/12/21,158.52
7/13/21,157.53
7/14/21,155.81
7/15/21,153.59
7/16/21,149.75
7/19/21,147.17
7/20/21,153.15
7/21/21,156.05
7/22/21,154.49
7/23/21,157.39
7/26/21,159.75
7/27/21,158.90
7/28/21,162.32
7/29/21,167.65
7/30/21,166.85
8/2/21,167.66
8/3/21,169.14
8/4/21,165.72
8/5/21,159.65
8/6/21,163.15
8/9/21,165.31
8/10/21,169.76
8/11/21,168.14
8/12/21,166.52
8/13/21,164.93
8/16/21,164.24
8/17/21,158.25
8/18/21,156.58
8/19/21,152.92
8/20/21,154.65
8/23/21,155.20
8/24/21,157.64
8/25/21,157.42
8/26/21,154.21
8/27/21,156.41
8/30/21,153.11
8/31/21,152.19
9/1/21,151.40
9/2/21,151.07
9/3/21,149.93
9/7/21,150.61
9/8/21,148.04
9/9/21,148.93
9/10/21,146.44
9/13/21,148.25
9/14/21,149.83
9/15/21,154.27
9/16/21,149.18
9/17/21,146.43
9/20/21,143.48
9/21/21,142.30
9/22/21,145.17
9/23/21,152.76
9/24/21,151.03
9/27/21,154.20
9/28/21,154.21
9/29/21,150.64
9/30/21,148.97
10/1/21,152.70
10/4/21,157.66
10/5/21,158.10
10/6/21,157.70
10/7/21,164.80
10/8/21,165.12
10/11/21,160.15
10/12/21,163.02
10/13/21,164.88
10/14/21,167.32
10/15/21,168.74
10/18/21,167.80
10/19/21,166.58
10/20/21,168.98
10/21/21,169.51
10/22/21,168.38
10/25/21,170.29
10/26/21,169.18
10/27/21,169.22
10/28/21,172.07
10/29/21,172.89
11/1/21,175.73
11/2/21,174.61
11/3/21,178.12
11/4/21,177.46
11/5/21,175.03
11/8/21,173.23
11/9/21,172.47
11/10/21,171.42
11/11/21,169.01
11/12/21,170.50
11/15/21,172.13
11/16/21,174.63
11/17/21,176.51
11/18/21,176.26
11/19/21,176.06
11/22/21,175.50
11/23/21,170.30
11/24/21,169.56
11/26/21,163.41
11/29/21,165.49
11/30/21,160.35
12/1/21,160.00
12/2/21,165.77
12/3/21,162.35
12/6/21,164.41
12/7/21,167.62
12/8/21,170.38
12/9/21,166.80
12/10/21,168.97
12/13/21,162.96
12/14/21,160.82
12/15/21,164.44
12/16/21,162.16
12/17/21,158.42
12/20/21,153.36
12/21/21,158.02
12/22/21,160.82
12/23/21,162.40
12/27/21,163.45
12/28/21,162.63
12/29/21,163.21
12/30/21,163.14
12/31/21,164.95
1/3/22,166.03
1/4/22,172.21
1/5/22,168.28
1/6/22,174.12
1/7/22,169.47
1/10/22,165.07
1/11/22,159.70
1/12/22,159.79
1/13/22,158.57
1/14/22,152.60
1/18/22,149.56
1/19/22,145.88
1/20/22,142.00
1/21/22,140.19
