,y
2019-05-21,31.34
2019-05-22,31.32
2019-05-23,31.64
2019-05-24,31.92
2019-05-28,31.67
2019-05-29,31.6
2019-05-30,32.09
2019-05-31,33.09
2019-06-03,33.63
2019-06-04,34.36
2019-06-05,34.49
2019-06-06,35.31
2019-06-07,35.67
2019-06-10,35.29
2019-06-11,34.92
2019-06-12,35.47
2019-06-13,35.55
2019-06-14,35.93
2019-06-17,36.22
2019-06-18,36.01
2019-06-19,36.36
2019-06-20,37.58
2019-06-21,37.49
2019-06-24,38.44
2019-06-25,37.94
2019-06-26,38.27
2019-06-27,38.08
2019-06-28,38.47
2019-07-01,37.91
2019-07-02,38.44
2019-07-03,38.76
2019-07-05,38.42
2019-07-08,38.29
2019-07-09,38.76
2019-07-10,39.05
2019-07-11,39.28
2019-07-12,39.42
2019-07-15,39.17
2019-07-16,38.69
2019-07-17,39.06
2019-07-18,39.7
2019-07-19,39.29
2019-07-22,39.9
2019-07-23,39.62
2019-07-24,39.3
2019-07-25,38.25
2019-07-26,37.28
2019-07-29,37.71
2019-07-30,37.73
2019-07-31,36.52
2019-08-01,37.15
2019-08-02,36.91
2019-08-05,37.42
2019-08-06,37.99
2019-08-07,39.35
2019-08-08,39.29
2019-08-09,39.03
2019-08-12,38.46
2019-08-13,37.66
2019-08-14,37.97
2019-08-15,38.52
2019-08-16,38.58
2019-08-19,38.13
2019-08-20,38.57
2019-08-21,38.53
2019-08-22,38.49
2019-08-23,39.3
2019-08-26,39.45
2019-08-27,40.75
2019-08-28,40.87
2019-08-29,40.11
2019-08-30,39.89
2019-09-03,40.39
2019-09-04,41.02
2019-09-05,39.34
2019-09-06,38.66
2019-09-09,38.06
2019-09-10,38.16
2019-09-11,38.72
2019-09-12,38.66
2019-09-13,38.62
2019-09-16,38.48
2019-09-17,39.6
2019-09-18,39.05
2019-09-19,39.39
2019-09-20,39.84
2019-09-23,39.85
2019-09-24,40.29
2019-09-25,39.57
2019-09-26,39.37
2019-09-27,38.4
2019-09-30,37.92
2019-10-01,37.56
2019-10-02,37.87
2019-10-03,38.12
2019-10-04,38.31
2019-10-07,38.26
2019-10-08,38.92
2019-10-09,38.78
2019-10-10,38.94
2019-10-11,37.62
2019-10-14,38.0
2019-10-15,37.69
2019-10-16,37.83
2019-10-17,38.31
2019-10-18,38.44
2019-10-21,37.96
2019-10-22,37.8
2019-10-23,38.38
2019-10-24,39.1
2019-10-25,39.18
2019-10-28,38.85
2019-10-29,38.84
2019-10-30,39.04
2019-10-31,39.73
2019-11-01,39.61
2019-11-04,38.89
2019-11-05,37.55
2019-11-06,37.65
2019-11-07,36.93
2019-11-08,36.61
2019-11-11,36.71
2019-11-12,36.9
2019-11-13,37.37
2019-11-14,37.54
2019-11-15,37.61
2019-11-18,38.06
2019-11-19,38.35
2019-11-20,38.47
2019-11-21,38.21
2019-11-22,38.09
2019-11-25,37.76
2019-11-26,38.14
2019-11-27,38.18
2019-11-29,38.4
2019-12-02,38.74
2019-12-03,39.38
2019-12-04,39.13
2019-12-05,40.0
2019-12-06,39.8
2019-12-09,39.72
2019-12-10,39.99
2019-12-11,40.9
2019-12-12,41.12
2019-12-13,41.29
2019-12-16,40.99
2019-12-17,40.47
2019-12-18,40.98
2019-12-19,40.88
2019-12-20,40.93
2019-12-23,41.77
2019-12-24,42.18
2019-12-26,42.69
2019-12-27,42.71
2019-12-30,43.75
2019-12-31,43.45
2020-01-02,43.22
2020-01-03,42.83
2020-01-06,43.26
2020-01-07,43.23
2020-01-08,42.08
2020-01-09,41.66
2020-01-10,42.27
2020-01-13,42.45
2020-01-14,42.83
2020-01-15,43.52
2020-01-16,43.82
2020-01-17,43.48
2020-01-21,43.71
2020-01-22,43.78
2020-01-23,43.7
2020-01-24,44.29
2020-01-27,44.56
2020-01-28,44.3
2020-01-29,44.62
2020-01-30,44.97
2020-01-31,45.06
2020-02-03,45.59
2020-02-04,44.23
2020-02-05,44.3
