Date,NEM
8/10/21,58.05
8/11/21,59.26
8/12/21,58.35
8/13/21,58.84
8/16/21,58.88
8/17/21,58.86
8/18/21,56.91
8/19/21,56.52
8/20/21,56.35
8/23/21,57.78
8/24/21,57.48
8/25/21,56.91
8/26/21,56.63
8/27/21,58.19
8/30/21,57.51
8/31/21,57.99
9/1/21,57.88
9/2/21,58.71
9/3/21,59.67
9/7/21,58.28
9/8/21,57.56
9/9/21,57.31
9/10/21,56.99
9/13/21,57.04
9/14/21,57.20
9/15/21,57.71
9/16/21,55.43
9/17/21,55.22
9/20/21,54.01
9/21/21,54.51
9/22/21,54.65
9/23/21,54.05
9/24/21,53.87
9/27/21,53.90
9/28/21,54.58
9/29/21,53.71
9/30/21,54.30
10/1/21,53.56
10/4/21,54.67
10/5/21,53.83
10/6/21,54.53
10/7/21,54.61
10/8/21,54.31
10/11/21,54.20
10/12/21,54.78
10/13/21,56.37
10/14/21,57.77
10/15/21,57.03
10/18/21,56.38
10/19/21,56.99
10/20/21,57.16
10/21/21,57.18
10/22/21,57.61
10/25/21,57.91
10/26/21,57.70
10/27/21,57.54
10/28/21,54.92
10/29/21,54.00
11/1/21,54.30
11/2/21,54.71
11/3/21,55.12
11/4/21,54.85
11/5/21,56.36
11/8/21,56.19
11/9/21,56.75
11/10/21,58.17
11/11/21,58.85
11/12/21,58.73
11/15/21,58.97
11/16/21,58.14
11/17/21,57.95
11/18/21,57.17
11/19/21,56.55
11/22/21,55.81
11/23/21,55.49
11/24/21,55.47
11/26/21,55.94
11/29/21,55.40
11/30/21,54.92
12/1/21,53.87
12/2/21,53.27
12/3/21,54.67
12/6/21,55.83
12/7/21,56.39
12/8/21,56.36
12/9/21,56.21
12/10/21,56.10
12/13/21,57.17
12/14/21,56.17
12/15/21,54.23
12/16/21,59.00
12/17/21,59.24
12/20/21,58.71
12/21/21,58.18
12/22/21,58.50
12/23/21,59.53
12/27/21,60.18
12/28/21,60.29
12/29/21,60.62
12/30/21,61.59
12/31/21,62.02
1/3/22,60.98
1/4/22,60.43
1/5/22,60.33
1/6/22,58.67
1/7/22,59.43
1/10/22,60.43
1/11/22,60.91
1/12/22,61.52
1/13/22,61.32
1/14/22,61.22
1/18/22,61.25
1/19/22,64.95
1/20/22,63.84
1/21/22,63.09
