Date,SWK
6/9/20,141.23
6/10/20,136.48
6/11/20,128.45
6/12/20,131.09
6/15/20,135.38
6/16/20,138.32
6/17/20,135.31
6/18/20,136.76
6/19/20,133.92
6/22/20,135.41
6/23/20,135.68
6/24/20,131.09
6/25/20,135.59
6/26/20,136.27
6/29/20,136.12
6/30/20,139.38
7/1/20,135.61
7/2/20,138.14
7/6/20,141.09
7/7/20,138.89
7/8/20,139.28
7/9/20,137.04
7/10/20,139.92
7/13/20,142.04
7/14/20,146.43
7/15/20,151.51
7/16/20,152.82
7/17/20,153.36
7/20/20,152.21
7/21/20,153.79
7/22/20,152.31
7/23/20,152.36
7/24/20,152.91
7/27/20,157.61
7/28/20,152.71
7/29/20,156.08
7/30/20,154.46
7/31/20,153.32
8/3/20,154.40
8/4/20,154.65
8/5/20,157.30
8/6/20,155.04
8/7/20,157.26
8/10/20,159.97
8/11/20,161.41
8/12/20,160.34
8/13/20,158.40
8/14/20,158.78
8/17/20,159.77
8/18/20,159.92
8/19/20,158.97
8/20/20,158.15
8/21/20,159.18
8/24/20,160.37
8/25/20,159.71
8/26/20,159.70
8/27/20,159.48
8/28/20,165.52
8/31/20,161.30
9/1/20,165.34
9/2/20,166.25
9/3/20,160.53
9/4/20,160.13
9/8/20,155.60
9/9/20,157.60
9/10/20,157.24
9/11/20,159.01
9/14/20,162.35
9/15/20,162.84
9/16/20,165.36
9/17/20,164.25
9/18/20,160.33
9/21/20,154.43
9/22/20,157.46
9/23/20,156.72
9/24/20,157.22
9/25/20,159.93
9/28/20,164.07
9/29/20,161.48
9/30/20,162.20
10/1/20,162.63
10/2/20,164.81
10/5/20,169.31
10/6/20,166.86
10/7/20,172.00
10/8/20,173.59
10/9/20,176.66
10/12/20,177.97
10/13/20,177.94
10/14/20,177.52
10/15/20,176.65
10/16/20,176.38
10/19/20,173.59
10/20/20,175.70
10/21/20,174.39
10/22/20,178.01
10/23/20,178.01
10/26/20,172.86
10/27/20,166.31
10/28/20,162.55
10/29/20,165.34
10/30/20,166.20
11/2/20,168.71
11/3/20,173.63
11/4/20,175.60
11/5/20,177.83
11/6/20,178.85
11/9/20,177.41
11/10/20,178.79
11/11/20,180.89
11/12/20,177.72
11/13/20,181.40
11/16/20,186.04
11/17/20,184.53
11/18/20,184.27
11/19/20,186.51
11/20/20,185.96
11/23/20,190.94
11/24/20,190.74
11/25/20,186.40
11/27/20,187.71
11/30/20,184.31
12/1/20,181.92
12/2/20,178.62
12/3/20,179.02
12/4/20,180.85
12/7/20,178.45
12/8/20,177.22
12/9/20,178.29
12/10/20,177.64
12/11/20,175.20
12/14/20,170.40
12/15/20,176.33
12/16/20,179.44
12/17/20,182.09
12/18/20,181.52
12/21/20,181.27
12/22/20,179.02
12/23/20,177.90
12/24/20,179.92
12/28/20,177.29
12/29/20,176.27
12/30/20,178.30
12/31/20,178.56
1/4/21,169.35
1/5/21,170.13
1/6/21,176.24
1/7/21,177.42
1/8/21,176.73
1/11/21,176.35
1/12/21,176.47
1/13/21,173.43
1/14/21,173.17
1/15/21,172.63
1/19/21,176.56
1/20/21,176.06
1/21/21,177.01
1/22/21,175.21
1/25/21,174.99
1/26/21,176.62
1/27/21,173.35
1/28/21,180.02
1/29/21,173.49
2/1/21,174.28
2/2/21,177.12
2/3/21,174.35
2/4/21,175.64
2/5/21,176.64
2/8/21,175.68
2/9/21,175.58
2/10/21,177.30
2/11/21,174.75
2/12/21,175.57
2/16/21,171.66
2/17/21,170.47
2/18/21,171.98
2/19/21,175.07
2/22/21,173.51
2/23/21,172.92
2/24/21,174.98
2/25/21,174.62
2/26/21,174.84
3/1/21,180.73
3/2/21,185.47
3/3/21,184.76
3/4/21,181.33
3/5/21,185.31
3/8/21,186.60
3/9/21,187.95
3/10/21,191.15
3/11/21,191.98
3/12/21,190.46
3/15/21,193.14
3/16/21,190.13
3/17/21,194.93
3/18/21,197.23
3/19/21,196.67
3/22/21,195.79
3/23/21,192.77
3/24/21,194.38
3/25/21,195.79
3/26/21,202.07
3/29/21,199.47
3/30/21,200.41
3/31/21,199.67
4/1/21,200.66
4/5/21,202.42
4/6/21,203.97
4/7/21,200.24
4/8/21,199.48
4/9/21,201.91
4/12/21,204.14
4/13/21,202.44
4/14/21,201.43
4/15/21,202.70
4/16/21,205.38
4/19/21,205.89
4/20/21,202.94
4/21/21,206.34
4/22/21,207.12
4/23/21,209.09
4/26/21,206.48
4/27/21,207.93
4/28/21,206.55
4/29/21,209.49
4/30/21,206.77
5/3/21,210.57
5/4/21,210.72
5/5/21,213.11
5/6/21,217.40
5/7/21,219.69
5/10/21,220.69
5/11/21,217.69
5/12/21,209.89
5/13/21,216.10
5/14/21,216.01
5/17/21,214.83
5/18/21,211.87
5/19/21,208.59
5/20/21,209.21
5/21/21,210.11
5/24/21,211.59
5/25/21,212.19
5/26/21,212.64
5/27/21,214.38
5/28/21,216.80
6/1/21,215.89
6/2/21,213.03
6/3/21,212.22
6/4/21,212.85
6/7/21,209.15
6/8/21,208.86
6/9/21,206.57
6/10/21,204.00
6/11/21,203.37
6/14/21,202.94
6/15/21,202.25
6/16/21,196.74
6/17/21,195.41
6/18/21,194.92
6/21/21,198.79
6/22/21,198.45
6/23/21,198.48
6/24/21,202.59
6/25/21,204.82
6/28/21,204.84
6/29/21,204.39
6/30/21,204.99
7/1/21,206.44
7/2/21,207.95
7/6/21,205.98
7/7/21,208.77
7/8/21,205.45
7/9/21,208.53
7/12/21,209.43
7/13/21,207.06
7/14/21,205.96
7/15/21,206.83
7/16/21,203.05
7/19/21,200.35
7/20/21,203.94
7/21/21,204.26
7/22/21,202.27
7/23/21,204.19
7/26/21,205.98
7/27/21,201.61
7/28/21,195.44
7/29/21,197.79
7/30/21,197.05
8/2/21,195.79
8/3/21,199.00
8/4/21,195.01
8/5/21,196.25
8/6/21,196.61
8/9/21,195.60
8/10/21,198.02
8/11/21,202.20
8/12/21,200.79
8/13/21,200.12
8/16/21,200.49
8/17/21,194.50
8/18/21,192.69
8/19/21,189.68
8/20/21,190.39
8/23/21,190.53
8/24/21,192.49
8/25/21,194.18
8/26/21,193.29
8/27/21,194.05
8/30/21,194.88
8/31/21,193.27
9/1/21,192.50
9/2/21,193.09
9/3/21,191.10
9/7/21,183.23
9/8/21,188.31
9/9/21,188.55
9/10/21,186.42
9/13/21,186.46
9/14/21,182.38
9/15/21,185.71
9/16/21,187.72
9/17/21,186.24
9/20/21,183.99
9/21/21,179.89
9/22/21,181.81
9/23/21,184.45
9/24/21,185.36
9/27/21,186.31
9/28/21,181.56
9/29/21,182.12
9/30/21,175.31
10/1/21,174.87
10/4/21,173.95
10/5/21,176.46
10/6/21,176.83
10/7/21,177.61
10/8/21,177.28
10/11/21,174.79
10/12/21,173.73
10/13/21,173.30
10/14/21,179.50
10/15/21,181.67
10/18/21,182.72
10/19/21,184.32
